relative_path,size_human,num_cells,num_code_cells,num_markdown_cells,has_outputs,num_output_cells,imports,defined_functions,defined_classes,referenced_paths,markdown_headings,status,error,repo_action_hint
C\08_final_stats_and_figures.ipynb,1.83 MB,26,25,1,True,25,"import os | import numpy | import pandas | from pathlib import Path | from scipy import stats | from itertools import combinations | 
import matplotlib | import matplotlib.pyplot | import matplotlib.patches | import matplotlib.ticker | from matplotlib.colors import LinearSegmentedColormap | from matplotlib.gridspec import GridSpec | import seaborn | 
import json | import math | from pprint import pprint | 
import pandas | 
import re | import textwrap | 
import textwrap | 
import numpy | 
import matplotlib.pyplot","ck_path_seediv, ck_path_faced, load_json, aggregate_seediv, aggregate_faced, try_load_csv, get_deep_results, save_fig, add_value_labels, chance_line, safe_read_notebook, find_cells_containing, print_cell_snippet, get_base_path, print_path_check, inspect_df_deep_model, inspect_reference_entry, inspect_result_files, inspect_checkpoint_files, inspect_notebooks_on_disk, summary_table, aggregate_deep_summary_csv, plot_channel, get_metric, clean_name, wrap_label, normalize_emotions, plot_by_subject, plot_by_emotion, get_cm, per_subject_f1, fmt",,master_results.csv | classical_ml_results.csv | master_summary.csv | deep_models_summary.csv | 02_deep_models.ipynb | /mnt/data/02_deep_models.ipynb | 08_final_stats_and_figures.ipynb | /mnt/data/08_final_stats_and_figures.ipynb | M25_62ch_summary.csv | M26_6ch_summary.csv,# 08 — Final Statistics & Paper-Ready Figures | ### CSE400C Phase C | EEG Emotion Recognition | SEED-IV + FACED,ok,,KEEP_AS_PROVENANCE_THEN_CLEAN_OR_CONVERT
B\capstone-final.ipynb,1.32 MB,37,18,19,True,13,"import numpy | import scipy.io | import scipy.signal | import os | import glob | import matplotlib.pyplot | import seaborn | from tqdm.notebook import tqdm | import warnings | 
import pandas | 
import torch | import torch.nn | import torch.nn.functional | import math | import copy | from torch.utils.data import Dataset, DataLoader, WeightedRandomSampler, Subset | from sklearn.metrics import accuracy_score | 
import torch.optim | from sklearn.metrics import accuracy_score, precision_recall_fscore_support, confusion_matrix | from sklearn.manifold import TSNE","compute_differential_entropy, z_score, visualize_signal_processing, load_seed_iv_lds, apply_subject_zscore, plot_normalization_effect, perform_eda, __init__, __len__, __getitem__, create_loso_split, create_data_loaders, load_preprocessed_data, mixup, channel_mask, add_noise, forward, _get_sinusoidal_embeddings, forward_contrastive, get_features, train_contrastive_stage, train_supervised_stage, calibrate_subject, visualize_augmentation, evaluate_and_plot, run_distillation","SEEDDataset, EEGAugmentor, InformationSeparatedAttention, DiagonalTransformerBlock, DANCEEncoder, DANCEModel, CrossSubjectContrastiveLoss, PairedDataset",eeg_teacher.npy | eeg_student.npy | labels.npy | subject_ids.npy | session_ids.npy | torch.mat | teacher_dance_pretrained.pt | teacher_dance_final.pt | student_dance_best.pt,# DANCE: Diagonal Attention with Neural Contrastive Encoding | ## A Unified Framework for Subject-Independent EEG Emotion Recognition | ### 1. Executive Summary | ### 2. The Core Problem | ### 3. The DANCE Solution | ### 4. Notebook Structure | # Part 1: Data Preprocessing & EDA | ## 1.1 Signal Visualization (Raw vs. Processed) | ## 1.2 Data Loading & Normalization Pipeline | ## 1.3 Normalization Visualization | ## 1.4 Exploratory Data Analysis (EDA) | # Part 2: DANCE Framework Library | ## 2.1 Dataset & DataLoaders | ## 2.2 DANCE Architecture Components | ## 2.3 Loss Functions & Training Engines | # Part 3: Teacher Training (62-Channel) | ## 3.1 Augmentation Visualization | ## 3.2 Stage 1: Contrastive Pre-training | ## 3.3 Stage 2: Fine-Tuning | ## 3.4 Evaluation & Visualization | # Part 4: Student Distillation | ## 4.1 Initialize Models | ## 4.2 Distillation Training Loop | ## 4.3 Student Evaluation,ok,,LIKELY_EXCLUDE_OLD_MATERIAL
C\CSE400C_PhaseBC_Master.ipynb,1.16 MB,53,38,15,True,33,"import os | import numpy | import scipy.io | import scipy.signal | import matplotlib | import matplotlib.pyplot | import seaborn | import pandas | from tqdm.auto import tqdm | import torch | import torch.nn | import torch.nn.functional | import torch.optim | from torch.utils.data import Dataset, DataLoader, Subset, WeightedRandomSampler | from sklearn.metrics import (accuracy_score, f1_score, precision_score, | from sklearn.manifold import TSNE | from sklearn.preprocessing import LabelEncoder | from sklearn.linear_model import LogisticRegression, SGDClassifier | from sklearn.svm import SVC | from sklearn.neighbors import KNeighborsClassifier | from sklearn.discriminant_analysis import LinearDiscriminantAnalysis, QuadraticDiscriminantAnalysis | from sklearn.ensemble import RandomForestClassifier, ExtraTreesClassifier |     from xgboost import XGBClassifier |     from scipy.stats import wilcoxon, friedmanchisquare |     from torch.utils.data import DataLoader |     import pickle |             import traceback | 
import json | 
import pandas | 
import torch","set_global_seed, load_seed_iv_lds, apply_subject_zscore, __init__, mixup, channel_mask, add_noise, forward, _sinusoidal, forward_contrastive, get_features, __len__, __getitem__, make_loaders, weighted_sampler, train_contrastive_stage, train_supervised_stage, calibrate_subject, compute_metrics, evaluate_model_pb, run_distillation, loso_split, train_dance_fold, eval_dance, build_classical, init_weights, _embed, backward, predict, train_dann, _encode, train_clisa, train_dl_generic, build_dl_model, get_calibration_params, freeze_all_except_head, eval_dl, forward_proj, train_simclr, train_pseudo_label, train_mean_teacher, load_faced, load_deap, trial_de, cross_dataset_eval, build_ablation_teacher, run_ablation_distillation, build_ablation_teacher_recover, attention, run_ablation_distillation_recover, get_embeddings, load_csv_safe, df_to_summary, hdr","EEGAugmentor, InformationSeparatedAttention, DiagonalTransformerBlock, DANCEEncoder, DANCEModel, SEEDDataset, PairedDataset, CrossSubjectContrastiveLoss, ShallowMLP, Conv1DEEG, Conv2DEEG, BiLSTMEEG, TCNBlock, TCNEEG, VanillaTransformerEEG, ConformerEEG, TransformerChanDropEEG, GradientReversalFn, DANNEEG, CLISAEEG, SimCLREEG, AblationDANCEEncoder, AblationModel, NoSubjCS, MHSAWrapper, AblationDANCEEncoderRecover, AblationModelRecover",/seed_iv_X_62ch.npy | /seed_iv_X_6ch.npy | /seed_iv_y_4cls.npy | /seed_iv_subjects.npy | /seed_iv_session.npy | /eda_overview.png | eda_overview.png | torch.mat | /pretrain_loss.png | /teacher_pretrained.pt | /finetune_curves.png | /teacher_baseline.pt | /student_baseline.pt | /phaseB_confusion_matrices.png | /loso/dance_loso.csv | /classical_ml/all_classical.csv | /deep_models/all_dl.csv | /ssl_semisl/all_ssl.csv | /cross_dataset/cross_dataset_results.csv | /ablations/ablations.csv | /ablations/ablations_partial_salvaged.csv | /ablations/ablations_partial_33rows.csv | /ablations/ablations_partial_summary.csv | RESULTS_DIR/ablations/ablations.csv | /ablations/ablations_recovery_progress.csv | /ablations/ablations_before_recovery_backup.csv | /tsne_sixpanel.png | figures/tsne_sixpanel.png | y:\n | /ablations/channel_ablation.csv | /channel_ablation.png | /ablations/calibration_shot_study.csv | /calibration_shot_study.png | /master_comparison.csv | /statistical/wilcoxon_results.csv | loso/dance_loso.csv | results/deep_models/all_dl.csv | tsne_sixpanel.png | /phaseC_results_report.json | phaseC_results_report.json | results/cross_dataset/cross_dataset_results.csv | figures/eda_overview.png | dance_student.pt,"# DANCE: Distilled Attention-based Neural Contrastive Encoder | ## CSE400C Capstone — Phase B Reproduction + Phase C Full Benchmark | ### A Lightweight Distilled Framework for Subject-Independent EEG-Based Emotion Recognition | ### Notebook Structure | ## Part 0 · Configuration & Imports | ## Part 1 · Data Loading & EDA | ## Part 2 · DANCE Architecture Library | ## Part 3 · Teacher Training (Phase B Reproduced) | ## Part 4 · Phase B Reproduction Check | ## Part 5 · LOSO-15 Harness | ## Part 6 · Classical ML Baselines (M01–M10) | ## Part 7 · Deep Learning Baselines (M11–M20) | ## Part 8 · SSL & Semi-supervised (M21–M24) | ## Part 9 · Cross-Dataset Evaluation (E03–E06) | ## Part 10 · Ablation Studies (A01–A16) | ## Part 11 · Visualisations (t-SNE × 6 panels, Channel ablation, Calibration curve) | ## Part 12 · Statistical Significance (E12 — Gap 7 fix) | ## 📊 FINAL REPORT CELL",ok,,KEEP_AS_PROVENANCE_THEN_CLEAN_OR_CONVERT
C\save the pts.ipynb,744.89 KB,27,27,0,True,27,"from pathlib import Path | import os | from collections import defaultdict | import numpy | import torch | import json | import hashlib | import re | import shutil | import csv | from collections import Counter | from collections import Counter, defaultdict | 
import json | 

from pathlib import Path | 
from pathlib import Path | import subprocess | import torch.nn | import torch.nn.functional | import zipfile | from datetime import datetime","find_dir_by_name, count_files, recursive_find, try_load_state_dict, fmt_shape, looks_relevant, sha1_first_mb, is_relevant_pth, quick_hash, detect_mid, is_allowed_file, is_needed, metric_from_json, find_project_root, backup_file, __init__, forward, input_dim, build_clisa, detect_family, find_compose_root, extract_state_dict, macro_f1, balanced_acc, acc, label_dist, project, subset_6ch, norm_from_62_to_6, preprocess, predict_batch, eval_pair, eval_all_pairs, print_top_bottom, find_app_root, preprocess_batch, eval_checkpoint, find_training_features, build_webapp_dataset, row_hashes, overlap_ratio, counts_by_subject_label, print_dist, stats_block, find_root, backup, read, write, must_replace, regex_replace, sha256_file, find_first_by_names, score, safe_copy, print_tree","CLISAClassifier, CLISA",seed_iv_X_62ch.npy | seed_iv_X_6ch.npy | seed_iv_y_4cls.npy | seed_iv_subjects.npy | _best.pt | .pth/.pt | 02_deep_models.ipynb | C:\Users\Saif\Desktop\CSE400\C | C:\Users\Saif\Downloads\g2results\checkpoints | D:\Downloads\archive\checkpoints | teacher_baseline.pt | teacher_pretrained.pt | student_baseline.pt | copy_manifest.csv | C:\Users\Saif\Desktop\CSE400\C\checkpoints\all_model_weights | C:\Users\Saif\Desktop\CSE400 | C:\Users\Saif\Downloads | D:\Downloads | C:\Users\Saif\Desktop\CSE400\C\checkpoints | _best\.pt | pat.mat | NEW.mat | OLD.mat | M20_62ch_s1_f01_best.pt | model_M20_CLISA_s1_f01_best.pt | M20_62ch_best.pt | M20_6ch_best.pt | M26_6ch_best.pt | M11_6ch_best.pt | M13_62ch_best.pt | M25_62ch_best.pt | models/checkpoints/M20_6ch_best.pt | models/checkpoints/M20_62ch_best.pt | norm_62ch.npz | channel_map_62_to_6.json | backend/app/config/channel_map_62_to_6.json | data/norm_stats/norm_62ch.npz | t:\n(?: | dataset_summary.json | data/features/seed_iv_X_6ch.npy | data/features/seed_iv_X_62ch.npy | preprocessing_contract.json | model_registry.json | asset_manifest.json | backend_assets_clisa/data/features/seed_iv_X_6ch.npy | backend_assets_clisa/data/features/seed_iv_X_62ch.npy | backend_assets_clisa/config/channel_map_62_to_6.json | backend_assets_clisa/metadata/model_registry.json | data/features/seed_iv_y_4cls.npy | data/features/seed_iv_subjects.npy | config/channel_map_62_to_6.json | metadata/preprocessing_contract.json | metadata/model_registry.json | D:\CSE400C\neurosync\neurosync | M21_6ch_s21_f07_best.pt | M21_6ch_seed21_fold07.json | M21_6ch_best.pt | M20_6ch_s1_f07_best.pt | M20_6ch_seed1_fold07.json | 6ch_deploy_manifest.json | m21_sync_manifest.json,,ok,,KEEP_AS_PROVENANCE_THEN_CLEAN_OR_CONVERT
C\neurosync_data_setup.ipynb,744.68 KB,12,11,1,True,9,"from pathlib import Path | import torch | import json | 
import torch | import os | import numpy | import scipy.io","pick_state, detect_family",,C:\Users\Saif\Desktop\CSE400\C\webapp\neurosync_webapp\neurosync\models\checkpoints\M26_6ch_best.pt | C:\Users\Saif\Desktop\CSE400\C\data\SEED_IV\ExtractedFeatures | C:\Users\Saif\Desktop\CSE400\C\webapp\neurosync_webapp\neurosync | sub001_ses01.npy | norm_62ch.npz | manifest.json | z_score_saved_in_norm_stats/norm_62ch.npz | M11_62ch_best.pt | M25_62ch_best.pt,# NeuroSync — Data & Model Setup,ok,,KEEP_AS_PROVENANCE_THEN_CLEAN_OR_CONVERT
Journal\10-wearkd-seediv-calibrated-clip-loso.ipynb,591.52 KB,65,43,22,True,40,"
import os | from pathlib import Path | from copy import deepcopy | import numpy | import pandas | import scipy.io | from scipy.stats import wilcoxon, ttest_rel | import matplotlib | import matplotlib.pyplot | import matplotlib.patches | from matplotlib.colors import ListedColormap | import seaborn |     from sklearn.decomposition import PCA |     from sklearn.manifold import TSNE |     from sklearn.preprocessing import LabelEncoder |     from sklearn.ensemble import RandomForestClassifier, ExtraTreesClassifier |     from sklearn.feature_selection import f_classif, mutual_info_classif |     from sklearn.metrics import (accuracy_score, balanced_accuracy_score, |     from sklearn.utils.class_weight import compute_class_weight | 
import torch | import torch.nn | import torch.nn.functional | from torch.utils.data import Dataset, DataLoader, WeightedRandomSampler | from torch.amp import GradScaler, autocast | 
import subprocess","set_seed, elapsed_hours, should_stop_for_time_limit, save_json, load_json, copy_previous_run_if_available, save_figure, load_seediv_de_features, validate_dataset, resolve_channel_indices, fit_normalizer, apply_normalizer, compute_class_weights_from_labels, make_weighted_sampler, make_loso_folds, make_source_validation_split, make_clip_disjoint_calibration_split, __init__, __len__, __getitem__, make_loader, forward, save_checkpoint, load_checkpoint, save_epoch_log, _forward_and_loss_teacher, _forward_and_loss_direct_student, _forward_and_loss_distilled_student, train_one_epoch, validate_model, train_model, predict_window_level, aggregate_clip_level, evaluate_window_metrics, evaluate_clip_metrics, load_completed_folds, mark_fold_complete, is_fold_complete, build_prototypes, compute_prototype_scores, run_calibrated_eval, _make_loader, ckpt_prefix, compute_fold_stats, fold_bacc_series, df_to_markdown, df_to_latex, save_table, plot_loss_curves, run_antileakage_audit, get_summary","EEGWindowDataset, BandEmbedding, ChannelTransformerEncoder, ProjectionHead, EEGTeacherTransformer, WearableStudentTransformer, SupConLoss, LogitKDLoss, EmbedKDLoss, RKDLoss, TeacherLoss, DirectStudentLoss, DistilledStudentLoss",config.json | dataset_manifest.csv | /dataset_manifest.csv | 01_dataset_summary.csv | 02_class_distribution.csv | 03_per_subject_distribution.csv | 04_per_session_distribution.csv | 05_per_clip_metadata.csv | 06_channel_mapping.csv | 07_feature_ranking.csv | 08_wearable_feature_ranking.csv | 09_fold_manifest.csv | torch.mat | 10_hyperparameters.csv | _best.pt | _latest.pt | _epoch_log.csv | completed_folds.json | fold_state.csv | _metrics.csv | _window_preds.csv | _clip_preds.csv | all_fold_metrics_interim.csv | window_predictions_interim.csv | clip_predictions_interim.csv | all_fold_metrics.csv | 11_calibration_ablation.csv | 12_main_result_table.csv | 13_statistical_tests.csv | window_predictions.csv | clip_predictions.csv | experiment_state.json | final_all_fold_metrics.csv | final_window_predictions.csv,"# WearKD-EEG: Full-Cap-to-Wearable Knowledge Distillation for Calibrated Clip-Level LOSO EEG Emotion Recognition on SEED-IV | ## Abstract | ## Anti-Leakage Rules (enforced throughout) | ## Section 1 — Imports, Configuration & Reproducibility | ## Section 2 — Dataset Loading with Full Metadata | ## Section 3 — Dataset EDA & Class Inspection | ## Section 4 — Channel Mapping & Wearable Subset | ## Section 5 — DE Feature Inspection & Fold-Safe Feature Selection | ## Section 6 — Normalisation & Class Balancing | ## Section 7 — LOSO Fold & Calibration Protocol | ## Section 8 — PyTorch Datasets & DataLoaders | ## Section 9 — Model Definitions | ### Teacher: `EEGTeacherTransformer` (62 channels → 4 classes) | ### Student: `WearableStudentTransformer` (6 channels → 4 classes) | ## Section 10 — Loss Functions | ## Section 11 — Hyperparameter Configuration | ## Section 12 — Training, Validation & Test Utilities | ## Section 13 — Main LOSO Training Loop | ## Section 14 — Calibration & Clip-Level Inference | ## Section 15 — Metrics & Statistical Tests | ## Section 16 — Paper-Ready Result Tables | ## Section 17 — Result Plots | ## Section 18 — Prediction & Ground-Truth Export | ## Section 19 — Anti-Leakage Audit | ## Section 20 — Final Paper-Ready Summary | ## Section 21 — Save Final Artifacts",ok,,KEEP_AS_PROVENANCE_THEN_CLEAN_OR_CONVERT
Journal\seediv_raw_clisa_first_sota_fullrun.ipynb,443.20 KB,57,31,26,True,28,"import os | import re | from pathlib import Path | from collections import defaultdict, Counter | from dataclasses import dataclass, field, asdict | from typing import Dict, List, Optional, Tuple, Any | import datetime | 
import numpy | import pandas | import scipy.io | import scipy.signal | from scipy.stats import pearsonr | import matplotlib | import matplotlib.pyplot | import matplotlib.gridspec | import matplotlib.colors | 
import torch | import torch.nn | import torch.nn.functional | from torch.utils.data import Dataset, DataLoader, WeightedRandomSampler | from sklearn.preprocessing import StandardScaler, LabelEncoder | from sklearn.metrics import (accuracy_score, balanced_accuracy_score, | from sklearn.model_selection import StratifiedKFold |     import umap |     from sklearn.manifold import TSNE | import shutil |     import psutil | import pickle |     from sklearn.linear_model import LogisticRegression | import matplotlib.patches","set_seed, mem_stats, free_memory, config_hash, bandpass_filter, apply_notch, compute_de, compute_psd_bandpower, extract_features_from_trial, get_trial_npz_path, save_trial_features, load_trial_features, get_trial_var_map, make_loso_splits, make_cross_time_splits, __init__, _load_npz, _get_features, _augment, __len__, __getitem__, training_mode, get_labels, build_fold_datasets, subset, make_balanced_loader, forward, backward, get_model, __call__, train_one_epoch, evaluate, train_fold, get_embeddings, build_prototypes, proto_b_predict, run_loso_for_model, run_sklearn_baseline, record_run, run_cross_time, run_wearable_loso, run_distillation, df_to_markdown, save_table, savefig, generate_final_report, ck","FeatureWindowDataset, GradientReversalFunction, GRL, TinyCLISA, CLISARawMLP, ResidualBlock, CLISARawResidualMLP, CLISARawConformer, CLISASSTFallback, SupConLoss, CLISALoss, MixupAugmenter, DistillationLoss",metrics.json | predictions.csv | fold_config.json | train_log.csv | finetune_best_acc.pt | manifest_raw_eeg.csv | dataset_summary.json | raw_eeg_sanity_inspection.png | feature_index_raw.csv | raw_self_de_vs_official_de_summary.csv | loso_splits.json | pretrain_best.pt | finetune_last.pt | scaler.pkl | _all_fold_results.csv | cross_time_results.csv | wearable_results.csv | kd_best.pt | distillation_results.csv | fold_results.csv,"# seediv_raw_clisa_first_sota_fullrun | ## SEED-IV Raw EEG · CLISA-First Cross-Subject Emotion Recognition | ### Evaluation metric | ### Novelties preserved | ### Scientific priority | ## §1 · Imports & Environment | ## §2 · Master CONFIG | ## §3 · Reproducibility & Memory Tools | ## §4 · Dataset Discovery & Raw EEG Manifest | ## §5 · Raw EEG Sanity Inspection | ## §6 · Channel Order & Wearable Channel Verification | ## §7 · Raw EEG Preprocessing & Feature Extraction | ## §8 · Raw DE vs Official DE Verification (Optional) | ## §9 · Split Protocols | ## §10 · Dataset Class, Standardization & DataLoaders | ## §11 · Models (CLISA-First Architecture Stack) | ## §12 · Loss Functions | ## §13 · Training Engine (Two-Stage CLISA) | ## §14 · Proto-A and Proto-B Calibrated Inference | ## §15 · Full LOSO Evaluation | ## §16 · Baseline Sanity Models | ## §17 · CLISA-First Main Run & Decision Gate | ## §17e · Test Mode Checkpoint Validation | ## §18 · Cross-Time Evaluation | ## §19 · Six-Channel Wearable Evaluation | ## §20 · Teacher-Student Knowledge Distillation (Final Experimental Section) | ## §21 · Tables | ## §22 · Figures | ## §23 · Final Summary Report | ## §24 · Quality Checks & Notebook Completion",ok,,KEEP_AS_PROVENANCE_THEN_CLEAN_OR_CONVERT
C\08_final_stats_and_figures_v2.ipynb,332.01 KB,41,40,1,True,13,"
import os | import numpy | import pandas | from pathlib import Path | from scipy import stats | from itertools import combinations | 
import matplotlib | import matplotlib.pyplot | import matplotlib.patches | import matplotlib.ticker | from matplotlib.colors import LinearSegmentedColormap | import seaborn | 
import json | import math | from pprint import pprint | 
from pprint import pprint | 
import math | 
from pathlib import Path | 
import re | 
import textwrap | import os | import json | import re","ck_path_seediv, ck_path_faced, load_json, aggregate_seediv, aggregate_faced, try_load_csv, get_deep_results, save_fig, add_value_labels, add_value_labels_h, chance_line, apply_axis_style, annotate_cm, _safe_read_nb, _print_path_check, _inspect_df_deep_model, _inspect_result_files, _aggregate_deep_csv, _is_finite, _print_header, _safe_get, _show_registry, _scan_csv_for_byol, _scan_result_files, _test_aggregate_seediv, _test_get_deep_results, _plottable_summary, _explain_likely_issue, show_csv_info, has, col, _plot_channel, _get_metric, _clean_name, _wrap_label, _wrap_headline_label, _shape_of, _len_of, _exists, _show_var, read_text_file, _norm_emotions, _tsne_subject_figure, _tsne_emotion_figure, _get_cm, _save_confusion_matrix, _per_subject_f1_matrix, _save_subject_heatmap, _best_classical_model, _best_deep_model, _fallback_per_class, _get_per_class_f1, _plot_per_class_top_models, fmt",,master_results.csv | classical_ml_results.csv | master_summary.csv | deep_models_summary.csv | M25_62ch_summary.csv | M26_6ch_summary.csv | results\deep_models_seediv\M22_62ch_summary.csv | results\deep_models_seediv\M22_6ch_summary.csv | _summary.csv | seed_iv_tsne_raw_2000.npy | seed_iv_subjects.npy | best.pt,# 08 — Final Statistics & Paper-Ready Figures (v2) | ### CSE400C Phase C | EEG Emotion Recognition | SEED-IV + FACED,ok,,KEEP_AS_PROVENANCE_THEN_CLEAN_OR_CONVERT
C\02_deep_models.ipynb,188.06 KB,49,31,18,True,25,"import os | import numpy | import pandas | from pathlib import Path | from sklearn.metrics import f1_score, accuracy_score | from sklearn.model_selection import train_test_split | import torch | import torch.nn | import torch.nn.functional | from torch.utils.data import DataLoader, TensorDataset, WeightedRandomSampler | from torch.cuda.amp import autocast, GradScaler | import glob | import json | import re | 
import matplotlib.pyplot | import matplotlib.patches | 
import copy | import matplotlib.pyplot | from torch.utils.data import TensorDataset, DataLoader | from torch.cuda.amp import GradScaler, autocast | from sklearn.metrics import ( | 
import json | from sklearn.metrics import confusion_matrix, accuracy_score, balanced_accuracy_score | from torch.utils.data import DataLoader, TensorDataset | from torch.cuda.amp import autocast","ck_path, ck_exists, ck_save, ck_load, model_complete, weight_path, set_seed, get_data, loso_split, make_loader, train_epoch, evaluate, proto_b_calibrate, run_loso, summarise_and_save, __init__, forward, backward, project, nt_xent_loss, get_repr, update_target, byol_loss, _get_mask, encode, dance_augment, subject_mixup, run_dann, run_clisa, run_simclr, run_byol, run_pseudolabel, sharpen, run_mixmatch, split_clisa_best_fold, train_epoch_loss, val_epoch_loss_f1, train_clisa_best_fold, run_inference, _run_clisa_62ch_curve, wearable_load_ckpts, wearable_best_row, wearable_find_matching_row, wearable_mean_std, wearable_save, wearable_split, wearable_load_model, wearable_infer, wearable_row_normalize, wearable_class_recall","ShallowMLP, DeepMLP, EEG_LSTM, EEG_GRU, EEG_Conv1D, VanillaTransformer, EEGConformer, ChanDropTransformer, GradReverse, DANN, CLISA, SimCLR, BYOLEncoder, BYOL, PseudoLabelNet, MixMatchNet, DiagMaskedAttn, DANCEBlock, DANCETeacher, DANCEStudent",torch.backends.cuda.mat | _best.pt | seed_iv_X_62ch.npy | seed_iv_X_6ch.npy | seed_iv_y_4cls.npy | seed_iv_subjects.npy | _summary.csv | 02_deep_models.ipynb | deep_models_master_summary.csv | deep_models_all_folds.csv | d:\n | /deep_models_all_folds.csv | \.json | pat.mat | sota_comparison_clisa_only_sorted.png | _class_prediction_check.png | t:\n | CLISA_62ch_loss_curve.png | wearable_plot1_6ch_leaderboard.png | wearable_plot3_classwise_recall_clisa_vs_dann.png,# 02 — Deep Learning Baselines (M11–M26) | ### CSE400C Phase C | SEED-IV | LOSO-15 × 3 seeds | 02_deep_models.ipynb | ## M11 — Shallow MLP | ## M12 — Deep MLP | ## M13 — LSTM | ## M14 — GRU | ## M15 — Conv1D | ## M16 — Vanilla Transformer | ## M17 — EEG Conformer | ## M18 — ChanDrop Transformer | ## M19 — DANN (Domain-Adversarial Neural Network) | ## M20 — CLISA | ## M21 — SimCLR | ## M22 — BYOL | ## M23 — PseudoLabel (Semi-Supervised) | ## M24 — MixMatch (Semi-Supervised) | ## M25 — DANCE Teacher (62ch only) | ## M26 — DANCE Student (6ch only) — Distillation from M25 | ## Final Summary & CSV Export,ok,,KEEP_AS_PROVENANCE_THEN_CLEAN_OR_CONVERT
C\03-5-and-04b-faced-models-kaggle-v2_Incomplete.ipynb,171.89 KB,47,24,23,True,17,"

import subprocess | 
import os | import numpy | import pandas | import matplotlib | import matplotlib.pyplot | from pathlib import Path | from datetime import datetime | 
import torch | import torch.nn | import torch.nn.functional | from torch.utils.data import DataLoader, TensorDataset, WeightedRandomSampler | from torch.cuda.amp import autocast, GradScaler | from sklearn.metrics import accuracy_score, f1_score | from sklearn.preprocessing import LabelEncoder | 

from sklearn.discriminant_analysis import LinearDiscriminantAnalysis | from sklearn.svm import SVC | from sklearn.ensemble import (RandomForestClassifier, ExtraTreesClassifier, | from sklearn.neighbors import KNeighborsClassifier | from sklearn.linear_model import LogisticRegression | from sklearn.naive_bayes import GaussianNB | from sklearn.neural_network import MLPClassifier | import xgboost | 
from contextlib import contextmanager","ckpt_key, save_ckpt, load_ckpt, ckpt_exists, model_done_count, prep_done, mark_prep_done, save_prep, session_status, _load, get_faced_fold, prep_zscore_subject, prep_minmax_subject, prep_robust_subject, prep_zscore_clip_subject, prep_bandwise_zscore_subject, aug_gaussian_noise, aug_band_masking, aug_channel_masking, aug_region_masking, aug_subject_mixup, aug_magnitude_warp, aug_combined_seed, aug_combined_faced, run_classical_fold, maybe_autocast, __init__, __len__, __getitem__, make_loader, evaluate, proto_calibrate, proto_predict, save_best, forward, encode, backward, project, nt_xent_loss, predict, update_target, byol_loss, train_dl_loso, train_dance_teacher_fold, train_dance_student_fold","EEGDataset, ShallowMLP, DeepMLP, LSTMModel, GRUModel, Conv1DModel, VanillaTransformer, EEGConformer, ChanDropTransformer, GradientReversalFn, DANN, CLISA, SimCLR, _BYOLEnc, BYOL, PseudoLabelModel, MixMatchModel, DANCEEncoder, DANCETeacher, DANCEStudent",torch.backends.cuda.mat | _readme.json | seed_iv_X_62ch.npy | seed_iv_y_4cls.npy | seed_iv_subjects.npy | seed_iv_session.npy | faced_X_32ch.npy | faced_y_4cls.npy | faced_subjects.npy | seed_iv_prep_s1_zscore_subject.npy | faced_prep_f1_zscore_subject.npy | faced_prep_f1_zscore_subject_6ch.npy | _best.pt | faced_models_all_folds.csv | faced_models_master_summary.csv | faced_models_f1b_comparison.png,# 03_5 + 04b — FACED Preprocessing & Full Model Suite (Kaggle) v2 | ## Cell 1 — Test/Full mode config (edit here only) | ## Cell 2 — Imports & GPU check | ## Cell 3 — Path configuration | ## Cell 4 — Checkpoint helpers (plan §7.1) | ## Cell 5 — Load & verify base features | ## Cell 6 — LOSO configuration | ## Cell 7 — Preprocessing functions (plan §3.5) | ## Cell 8 — Augmentation functions (plan §3.6) | ## Cell 9 — Generate & save all prep/aug variants | ## Cell 10 — M01–M10: Classical ML on FACED (E02) | ## Cell 11 — DL training utilities | ## Cell 12 — DL baseline architectures (M11–M18) | ## Cell 13 — M19: DANN / M20: CLISA / M21: SimCLR / M22: BYOL | ## Cell 14 — M25: DANCE Teacher / M26: DANCE Student | ## Cell 15 — Generic LOSO training loop (M11–M24) | ## Cell 16 — Run M11–M24 DL baselines on FACED | ## Cell 17 — M19: DANN (separate — n_subj varies per fold) | ## Cell 18 — M25: DANCE Teacher LOSO on FACED | ## Cell 19 — M26: DANCE Student LOSO on FACED | ## Cell 20 — Aggregate all results & save CSVs | ## Cell 21 — Summary plot | ## Cell 22 — Session end: zip outputs for download,ok,,REVIEW_NOTEBOOK
