context,internal,kind,match,path,severity
"names: ""Rafid"" date-released: ""2026-05-17"" repository-code: ""https://github.com/USERNAME/CLISA-EWU-reproducibility"" version: ""0.1.0"" license: ""LicenseRef-TBD"" abstract:",False,github_username_placeholder,USERNAME,CITATION.cff,PUBLIC_REVIEW
"b.com/USERNAME/CLISA-EWU-reproducibility"" version: ""0.1.0"" license: ""LicenseRef-TBD"" abstract: ""Reproducibility materials for CLISA-EWU, a contrastive inter-subjec",False,todo,TBD,CITATION.cff,PUBLIC_REVIEW
"tps://github.com/USERNAME/CLISA-EWU-reproducibility"" version: ""0.1.0"" license: ""LicenseRef-TBD"" abstract: ""Reproducibility materials for CLISA-EWU, a contrastive inter-subjec",False,license_ref_tbd,LicenseRef-TBD,CITATION.cff,PUBLIC_REVIEW
dit before public GitHub release  - `CITATION.cff`: replace `https://github.com/USERNAME/CLISA-EWU-reproducibility` with the real GitHub URL. - `LICENSE`: replace the p,False,github_username_placeholder,USERNAME,README.md,PUBLIC_REVIEW
E/CLISA-EWU-reproducibility` with the real GitHub URL. - `LICENSE`: replace the placeholder with the selected license. - `README.md`: add installation and dataset-access d,False,todo,placeholder,README.md,PUBLIC_REVIEW
"THOD_REPO | | C\webapp\neurosync_webapp\neurosync\backend\app\routers\auth.py | username_valid, password_valid, new_password_valid | RegisterRequest, TokenResponse, Use",True,github_username_placeholder,username,results/audit/cell02_deep_audit_report.md,ALLOW_INTERNAL_REVIEW
" | from app.models.user import User | from app.services.auth_service import ("",""username_valid, password_valid, new_password_valid"",""RegisterRequest, TokenResponse, Use",True,github_username_placeholder,username,results/audit/cell02_python_file_analysis.csv,ALLOW_INTERNAL_REVIEW
ce code modules under `src/clisa_ewu/`. - Real preprocessing scripts instead of placeholders. - Real LOSO evaluation script instead of placeholder. - Real table/figure rep,True,todo,placeholder,results/audit/cell04_notebook_extraction/cell04_notebook_to_script_conversion_plan.md,ALLOW_INTERNAL_REVIEW
ssing scripts instead of placeholders. - Real LOSO evaluation script instead of placeholder. - Real table/figure reproduction scripts instead of placeholders. - Data split,True,todo,placeholder,results/audit/cell04_notebook_extraction/cell04_notebook_to_script_conversion_plan.md,ALLOW_INTERNAL_REVIEW
ipt instead of placeholder. - Real table/figure reproduction scripts instead of placeholders. - Data split JSON files under `data_splits/`. - Exact dependency versions. - ,True,todo,placeholder,results/audit/cell04_notebook_extraction/cell04_notebook_to_script_conversion_plan.md,ALLOW_INTERNAL_REVIEW
"  print(f""⚠ FACED data not found at {FACED_DIR}"")     print(""Creating synthetic placeholder for EDA structure testing..."")     N_FAKE = 5000     X_faced    = np.random.ran",True,todo,placeholder,scripts/_raw_notebook_exports/00b_eda_faced.py,ALLOW_INTERNAL_REVIEW
d in the loaded results.')         print('It is present in REF_DEEP only as NaN placeholders and excluded from Figure 2.')     else:         print('BYOL appears to be at l,True,todo,placeholder,scripts/_raw_notebook_exports/08_final_stats_and_figures_v2.py,ALLOW_INTERNAL_REVIEW
"shuffle=shuffle,         sampler=sampler,         drop_last=drop_last,     )  # Placeholders for globally-normalised arrays; overwritten each fold X_full_norm_global = Non",True,todo,Placeholder,scripts/_raw_notebook_exports/10_wearkd_seediv_calibrated_clip_loso.py,ALLOW_INTERNAL_REVIEW
" ══════════════════════════════════════════════════════════════════════════════ todo = [     (""LOSO seeds 2 & 3"",       ""Cell 22 — re-run with QUICK_TEST=False""),  ",True,todo,todo,scripts/_raw_notebook_exports/CSE400C_PhaseBC_Master.py,ALLOW_INTERNAL_REVIEW
"print(f""\n  {'Task':<28}  {'Action'}"") print(""  "" + ""-""*65) for task, action in todo:     print(f""  {task:<28}  {action}"")  # ══════════════════════════════════════",True,todo,todo,scripts/_raw_notebook_exports/CSE400C_PhaseBC_Master.py,ALLOW_INTERNAL_REVIEW
""""""" Placeholder LOSO evaluation script.  Next step: - Move LOSO split, Proto-A, Proto-B, balanc",False,todo,Placeholder,scripts/evaluate_loso.py,PUBLIC_REVIEW
""""""" Placeholder preprocessing script.  Next step: - Move SEED-IV preprocessing and DE feature l",False,todo,Placeholder,scripts/preprocess_seediv.py,PUBLIC_REVIEW
""""""" Placeholder script.  Next step: - Move figure-generation logic from final stats notebooks i",False,todo,Placeholder,scripts/reproduce_figures.py,PUBLIC_REVIEW
"import Path  ROOT = Path(__file__).resolve().parents[1]  def main():     print(""TODO: implement figure reproduction."")  if __name__ == ""__main__"":     main() ",False,todo,TODO,scripts/reproduce_figures.py,PUBLIC_REVIEW
