relative_path,size_human,imports,defined_functions,defined_classes,referenced_paths,status,error,repo_action_hint
misc\notebockgenB.py,135.87 KB,"import json | import os | import numpy | import scipy.io | import scipy.signal | import matplotlib | import matplotlib.pyplot | import seaborn | import pandas | from tqdm.auto import tqdm | import torch | import torch.nn | import torch.nn.functional | import torch.optim | from torch.utils.data import Dataset, DataLoader, Subset, WeightedRandomSampler | from sklearn.metrics import (accuracy_score, f1_score, precision_score, | from sklearn.manifold import TSNE | from sklearn.preprocessing import LabelEncoder | from sklearn.linear_model import LogisticRegression, SGDClassifier | from sklearn.svm import SVC | from sklearn.neighbors import KNeighborsClassifier | from sklearn.discriminant_analysis import LinearDiscriminantAnalysis, QuadraticDiscriminantAnalysis | from sklearn.ensemble import RandomForestClassifier, ExtraTreesClassifier |     from xgboost import XGBClassifier |     from scipy.stats import wilcoxon, friedmanchisquare |     from torch.utils.data import DataLoader |     import pickle |             import traceback | 
import json","md, code, add, set_global_seed, load_seed_iv_lds, apply_subject_zscore, __init__, mixup, channel_mask, add_noise, forward, _sinusoidal, forward_contrastive, get_features, __len__, __getitem__, make_loaders, weighted_sampler, train_contrastive_stage, train_supervised_stage, calibrate_subject, compute_metrics, evaluate_model_pb, run_distillation, loso_split, train_dance_fold, eval_dance, build_classical, init_weights, _embed, backward, predict, train_dann, _encode, train_clisa, train_dl_generic, build_dl_model, eval_dl, forward_proj, train_simclr, train_pseudo_label, train_mean_teacher, load_faced, load_deap, trial_de, cross_dataset_eval, build_ablation_teacher, run_ablation_distillation, get_embeddings, load_csv_safe, df_to_summary","EEGAugmentor, InformationSeparatedAttention, DiagonalTransformerBlock, DANCEEncoder, DANCEModel, SEEDDataset, PairedDataset, CrossSubjectContrastiveLoss, ShallowMLP, Conv1DEEG, Conv2DEEG, BiLSTMEEG, TCNBlock, TCNEEG, VanillaTransformerEEG, ConformerEEG, TransformerChanDropEEG, GradientReversalFn, DANNEEG, CLISAEEG, SimCLREEG, AblationDANCEEncoder, AblationModel, NoSubjCS",/seed_iv_X_62ch.npy | /seed_iv_X_6ch.npy | /seed_iv_y_4cls.npy | /seed_iv_subjects.npy | /seed_iv_session.npy | /eda_overview.png | eda_overview.png | torch.mat | /pretrain_loss.png | /teacher_pretrained.pt | /finetune_curves.png | /teacher_baseline.pt | /student_baseline.pt | /phaseB_confusion_matrices.png | /loso/dance_loso.csv | /classical_ml/all_classical.csv | /deep_models/all_dl.csv | /ssl_semisl/all_ssl.csv | /cross_dataset/cross_dataset_results.csv | /ablations/ablations.csv | /tsne_sixpanel.png | figures/tsne_sixpanel.png | /ablations/channel_ablation.csv | /channel_ablation.png | /ablations/calibration_shot_study.csv | /calibration_shot_study.png | /master_comparison.csv | /statistical/wilcoxon_results.csv | loso/dance_loso.csv | results/deep_models/all_dl.csv | tsne_sixpanel.png | /phaseC_results_report.json | phaseC_results_report.json | CSE400C_PhaseBC_Master.ipynb,ok,,LIKELY_EXCLUDE_OR_REVIEW
C\webapp\neurosync_webapp\neurosync\backend\app\services\model_loader.py,29.13 KB,"
from __future__ import annotations | 
import os | import json | import logging | import numpy | from pathlib import Path | from dataclasses import dataclass, field | from typing import Optional | from datetime import datetime, timezone |             import torch | 
        from app.services.dance_model import detect_family |         from app.services.dance_model import build_dance_student, build_eeg_band_transformer, build_clisa |         import torch","_load_ch_map, _resolve_model_config, to_dict, __init__, _load_and_verify, _build_model, _load_norm_stats, _get_real_test_sample, _adapt_input, _normalize, _get_variant_pair, _notebook_feature_sample_count, _run_notebook_loso_summary_validation, _run_small_processed_validation, _run_ground_truth_validation, infer, _infer_torch, _infer_prototype, get_verification_status, normalize_public, _format_output, get_model, set_active_model, list_available_models","VerificationStatus, NeuroSyncModel",M26_6ch_best.pt | channel_map_62_to_6.json | norm_62ch.npz | seed_iv_y_4cls.npy | seed_iv_X_62ch.npy | seed_iv_X_6ch.npy,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\routers\inference.py,20.42 KB,"
import asyncio | import json | import logging | import random | import time | import numpy | from datetime import datetime, timezone | 
from fastapi import APIRouter, WebSocket, WebSocketDisconnect, Query | from sqlalchemy.ext.asyncio import AsyncSession | from sqlalchemy import select | 
from app.database import AsyncSessionLocal | from app.models.session import EmotionRecord, EEGSession | from app.services.auth_service import decode_access_token | from app.services.eeg_simulator import create_simulator | from app.services.inference_stabilizer import InferenceStabilizer, compute_margin | from app.routers.device import get_device_state | 
    from app.services.model_loader import get_model as _get_model |             from app.services.dataset_loader import load_features",,,,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\routers\device.py,14.38 KB,"
import os | import logging | from fastapi import APIRouter, Depends, HTTPException | from pydantic import BaseModel | from typing import Optional, Literal | 
from app.models.user import User | from app.routers.auth import get_current_user |     from app.services.dataset_loader import DATA_DIR, load_manifest |         import numpy","_make_default_state, get_device_state, set_device_state, _apply_stability_settings, _connect_simulator, _connect_real","ConnectDeviceRequest, StabilitySettingsRequest, DeviceStateResponse",norm_62ch.npz | M20_6ch_best.pt,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\services\eeg_simulator.py,12.64 KB,"
import numpy | import logging | from dataclasses import dataclass, field | from typing import Optional |         from app.services.model_loader import FALLBACK_CENTROIDS","__init__, update_config, apply_preset, generate_de_features, generate_raw_waveform, infer_emotion, _prototype_fallback, get_band_powers, signal_quality, create_simulator, list_presets","SimulatorConfig, AugmentationPreset, EEGSimulator",,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\services\dataset_loader.py,11.49 KB,"
import os | import json | import logging | import numpy | from pathlib import Path | from typing import Optional | from dataclasses import dataclass, field |         import csv","load_manifest, list_processed_files, get_dataset_status, load_features, load_norm_stats, run_validation","DatasetManifest, ValidationResult",manifest.json | norm_62ch.npz,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\routers\tracking.py,10.96 KB,"
from fastapi import APIRouter, Depends, Query | from sqlalchemy.ext.asyncio import AsyncSession | from sqlalchemy import select, func, desc | from datetime import datetime, timezone, timedelta | import logging | 
from app.database import get_db | from app.models.session import EEGSession, EmotionRecord, DailyEmotionSummary | from app.models.user import User | from app.routers.auth import get_current_user | 
    import calendar |         from fastapi import HTTPException","_calculate_wellness_score, _calculate_streak",,,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\services\dance_model.py,10.61 KB,    import torch |     import torch.nn,"__init__, forward, input_dim, detect_family, build_dance_student, build_eeg_band_transformer, build_clisa","ChannelAttention, DANCEEncoder, DANCEStudent, _AttentionWrapper, _BandTransformerBlock, EEGBandTransformer, CLISAClassifier",M26_6ch_best.pt,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\routers\calibration.py,9.36 KB,"
from fastapi import APIRouter, Depends, HTTPException | from sqlalchemy.ext.asyncio import AsyncSession | from sqlalchemy import select, desc | from pydantic import BaseModel | from typing import Optional | from datetime import datetime, timezone | import numpy | import logging | 
from app.database import get_db | from app.models.session import CalibrationRecord | from app.models.user import User | from app.routers.auth import get_current_user | from app.routers.device import get_device_state | from app.services.eeg_simulator import EMOTIONS, BANDS, CHANNELS, EMOTION_PROTOTYPES",,"StartCalibrationResponse, AddWindowRequest, CalibrationStatusResponse, CalibrationRecord_, Config",,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\services\inference_stabilizer.py,8.03 KB,"
import time | import logging","__init__, update, reset, _accept, _build_output, compute_margin",InferenceStabilizer,,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
